condiciones ocurrentes	Condiciones co-ocurrentes
catalogo ampliado pseudociencia	Catálogo ampliado de pseudociencia
autismo ninas mujeres adultos	Autismo en niñas/mujeres y en adultos
comunicacion poco verbal caa aac	Comunicación (no/poco verbal, CAA/AAC)
procesamiento sensorial autorregulacion meltdowns	Procesamiento sensorial, autorregulaci
medicacion basada evidencia	Medicación basada en evidencia
salud mental seguridad	Salud mental y seguridad
educacion inclusion escolar	Educación e inclusión escolar
adolescencia pubertad transicion adultez	Adolescencia, pubertad y transición a 
neurodiversidad perspectiva autista	Neurodiversidad y perspectiva autista
genetica formas sindromicas	Genética y formas sindrómicas
intervenciones comparadas	Intervenciones comparadas
acceso global latinoamerica	Acceso global / Latinoamérica
bienestar cuidadores familia	Bienestar de cuidadores y familia
senales tempranas detalladas edad	Señales tempranas detalladas por edad
alimentacion selectiva problemas alimentacion	Alimentación selectiva / problemas de 
epilepsia convulsiones	Epilepsia / convulsiones
tcc adaptada ansiedad depresion	TCC adaptada para ansiedad/depresión
educacion sexual privacidad adaptada	Educación sexual y de privacidad adapt
empleo apoyo	Empleo con apoyo
manejo tdah ocurrente	Manejo del TDAH co-ocurrente
preferencias lenguaje ncaep 2020	Preferencias de lenguaje + NCAEP 2020
sueno	Sueño
intervencion temprana	Intervención temprana
terapia ocupacional integracion sensorial	Terapia ocupacional e integración sens
conductas desafiantes apoyo conductual positivo	Conductas desafiantes / apoyo conductu
problemas digestivos	Problemas digestivos (GI)
regulacion emocional alexitimia	Regulación emocional / alexitimia
habilidades sociales evidencia	Habilidades sociales con evidencia
explicar autismo	Cómo explicar el autismo
seguridad wandering fugas pica	Seguridad: *wandering*/fugas y pica
discapacidad intelectual ocurrente	Discapacidad intelectual co-ocurrente
visitas medicas dentales adaptadas	Visitas médicas y dentales adaptadas
escuela inclusion adaptaciones derechos	Escuela: inclusión, adaptaciones y der
estigma apoyo padres	Estigma y apoyo entre padres
tecnologia pantallas	Tecnología y pantallas
cannabis cbd autismo	Cannabis / CBD para el autismo
salud fisica esperanza vida	Salud física y esperanza de vida
bilinguismo autismo	Bilingüismo y autismo
burnout autista autistic burnout	Burnout autista (*autistic burnout*)
autismo diversidad genero	Autismo y diversidad de género
ejercicio fisico	Ejercicio físico
musicoterapia	Musicoterapia
trauma tept autismo	Trauma y TEPT en autismo
animales apoyo terapia	Animales de apoyo / terapia
aprendizaje bano control esfinteres	Aprendizaje del baño / control de esfí
motricidad dispraxia	Motricidad y dispraxia
transiciones apoyos visuales	Transiciones y apoyos visuales
envejecimiento adultez mayor	Envejecimiento y adultez mayor
trastornos conducta alimentaria anorexia autismo	Trastornos de la conducta alimentaria 
toc ansiedad autismo	TOC y ansiedad en autismo
autodefensa autista voz personas autistas	Autodefensa autista y voz de las perso
proceso diagnostico fondo	El proceso de diagnóstico a fondo
prevalencia aumento casos epidemia	Prevalencia y el "aumento" de casos (¿
vacunas autismo mito fondo	Vacunas y autismo — el mito a fondo
neurobiologia desarrolla cerebro autista	Neurobiología: cómo se desarrolla el c
funciones ejecutivas	Funciones ejecutivas
interocepcion percibir senales cuerpo	Interocepción (percibir las señales de
ecolalia procesamiento lenguaje gestalt	Ecolalia y procesamiento del lenguaje 
stimming conductas autoestimulatorias	Stimming (conductas autoestimulatorias
intereses intensos fortaleza	Intereses intensos como fortaleza
regresion autista perdida habilidades	Regresión autista (pérdida de habilida
factores prenatales perinatales asociados matices	Factores prenatales y perinatales asoc
nutricion suplementos basados evidencia	Nutrición y suplementos basados en evi
hermanos ninos autistas	Hermanos de niños autistas
juego desarrollo acompanarlo	El juego: desarrollo y cómo acompañarl
amistades relaciones	Amistades y relaciones
pda evitacion patologica demandas perfil	PDA: evitación patológica de demandas 
doble excepcionalidad autismo altas capacidades	Doble excepcionalidad (autismo + altas
elegir profesionales terapias criterio	Elegir profesionales y terapias con cr
estrategias crianza dia dia	Estrategias de crianza en el día a día
primeros pasos diagnostico afrontarlo	Primeros pasos tras el diagnóstico (y 
comunicacion social doble empatia	Comunicación social y "doble empatía"
voces experiencias familias evidencia cualitativa	Voces y experiencias de familias (evid
diagnostico diferencial	Diagnóstico diferencial: qué se confun
historia concepto autismo	Historia del concepto de autismo
criterios diagnosticos	Criterios diagnósticos: DSM-5 y CIE-11
alto funcionamiento niveles apoyo	"Alto/bajo funcionamiento" y niveles d
terapia habla lenguaje logopedia fonoaudiologia	Terapia del habla y lenguaje (logopedi
microbioma intestinal autismo	Microbioma intestinal y autismo
sistema inmune inflamacion teoria intestino	Sistema inmune, inflamación y la teorí
epigenetica pruebas epigeneticas cabello	Epigenética y las "pruebas epigenética
biomarcadores pruebas emergentes	Biomarcadores y pruebas emergentes
oxitocina farmacos investigacion	Oxitocina y fármacos en investigación
disparidades raciales etnicas diagnostico	Disparidades raciales y étnicas en el 
nivel socioeconomico idioma acceso	Nivel socioeconómico, idioma y acceso
diferencias culturales concepcion autismo	Diferencias culturales en la concepció
autismo sistema justicia	Autismo y el sistema de justicia
autismo orientacion sexual identidad lgbtq	Autismo, orientación sexual e identida
planificacion financiera legal futuro	Planificación financiera y legal del f
vivienda vida independiente apoyo	Vivienda y vida independiente con apoy
conducir movilidad autonoma	Conducir y movilidad autónoma
viajes vacaciones eventos sociales	Viajes, vacaciones y eventos sociales
contacto visual lenguaje corporal mito	Contacto visual y lenguaje corporal (m
tecnologia apoyo apps	Tecnología de apoyo y apps
dieta cetogenica otras dietas	Dieta cetogénica y otras dietas
pseudociencias detector	Más pseudociencias para el Detector
ser madre padre autista diagnostico	Ser madre/padre autista y el diagnósti
sindrome fragil autismo	Síndrome de X frágil y autismo
sindrome rett	Síndrome de Rett
esclerosis tuberosa otros sindromes angelman	Esclerosis tuberosa y otros síndromes 
autismo sindrome down ocurrencia	Autismo y síndrome de Down (co-ocurren
autismo dolor expresion	Autismo, dolor y su expresión
hospitalizacion cirugia anestesia preparacion	Hospitalización, cirugía y anestesia (
pubertad menstruacion	Pubertad y menstruación: manejo prácti
higiene sensorial	Higiene sensorial: cortes de pelo, uña
ropa vestirse sensibilidad tactil	Ropa y vestirse (sensibilidad táctil)
salir supermercado restaurantes espacios publicos	Salir: supermercado, restaurantes y es
acoso escolar bullying	Acoso escolar (bullying): prevención y
transiciones escolares curso etapa colegio	Transiciones escolares (de curso, etap
deberes aprendizaje casa	Deberes y aprendizaje en casa
deporte ejercicio inclusivo ocio	Deporte, ejercicio inclusivo y ocio
arte musica teatro	Arte, música y teatro: expresión y bie
humor lenguaje figurado ironia	Humor, lenguaje figurado e ironía
teorias cognitivas autismo honestidad critica	Teorías cognitivas del autismo (con ho
prevalencia mundial datos globales	Prevalencia mundial y datos globales
impacto pareja relacion padres	Impacto en la pareja y la relación de 
papel abuelos familia extensa	El papel de abuelos y familia extensa
catatonia autismo	Catatonia en el autismo
autismo hipermovilidad disautonomia	Autismo, hipermovilidad y disautonomía
autismo alergias asma atopia	Autismo, alergias, asma y atopia
autismo salud visual oftalmologica	Autismo y salud visual / oftalmológica
autismo procesamiento auditivo	Autismo y procesamiento auditivo
autismo uso sustancias adicciones	Autismo, uso de sustancias y adiccione
autismo uso problematico videojuegos internet	Autismo y uso problemático de videojue
autismo vida online	Autismo y vida online: redes sociales,
habilidades vida diaria independencia	Habilidades de vida diaria e independe
autismo reconocimiento caras prosopagnosia	Autismo y reconocimiento de caras (pro
autismo percepcion tiempo	Autismo y percepción del tiempo
autismo memoria perfil fortalezas	Autismo y memoria (perfil y fortalezas
autismo sinestesia particularidades perceptivas	Autismo, sinestesia y particularidades
autismo educacion casa homeschooling	Autismo y educación en casa (homeschoo
metodos enfoques educativos teacch panorama	Métodos y enfoques educativos (TEACCH 
tecnologia emergente	Tecnología emergente: robots sociales 
cuidados respiro respite apoyo familia	Cuidados de respiro (respite) y apoyo 
seguridad personal prevencion abuso	Seguridad personal y prevención del ab
representacion medios cultura autista	Representación en medios y cultura aut
autismo envejecimiento	Autismo y envejecimiento: menopausia y
paracetamol acetaminofen embarazo	Paracetamol/acetaminofén en el embaraz
leucovorina acido folinico	Leucovorina / ácido folínico
factores ambientales contaminacion aire	Factores ambientales y contaminación d
mitos ambientales	Mitos ambientales: wifi, campos electr
autismo tics sindrome tourette	Autismo y tics / síndrome de Tourette
trastornos sueno especificos apnea piernas	Trastornos del sueño específicos (apne
salud dental bruxismo	Salud dental y bruxismo
estrenimiento encopresis fondo	Estreñimiento y encopresis (a fondo)
enuresis mojar cama	Enuresis (mojar la cama)
autismo migrana cefaleas	Autismo, migraña y cefaleas
programa hanen more than words	Programa Hanen (More Than Words) y pro
video modeling historias sociales	Video modeling e historias sociales
refuerzo positivo economia fichas usos	Refuerzo positivo y economía de fichas
equinoterapia hidroterapia terapias asistidas	Equinoterapia, hidroterapia y terapias
sulforafano otras terapias investigacion	Sulforafano y otras terapias en invest
autodiagnostico diagnostico formal debate	Autodiagnóstico vs diagnóstico formal 
divulgar diagnostico disclosure	Divulgar el diagnóstico (disclosure): 
acceso atencion medica adulta	Acceso a la atención médica adulta
familias varios miembros autistas	Familias con varios miembros autistas
coaching mentoria apoyo adultos autistas	Coaching, mentoría y apoyo entre adult
prt pivotal response treatment	PRT (Pivotal Response Treatment)
dir floortime	DIR/Floortime
debate aba etico fondo	El debate sobre el ABA (ético, a fondo
modelo scerts	Modelo SCERTS
elegir colegio	Elegir colegio: ordinario, especial o 
adaptaciones ajustes examenes evaluacion	Adaptaciones y ajustes en exámenes y e
universidad educacion superior	Universidad y educación superior
formacion profesional oficios	Formación profesional y oficios
entrevistas trabajo conseguir empleo	Entrevistas de trabajo y conseguir emp
mantener empleo crecer profesionalmente	Mantener el empleo y crecer profesiona
conversacion social small talk	Conversación social y "small talk"
comunicacion verbal	Comunicación no verbal: gestos, prosod
simbolos identidad	Símbolos e identidad: rompecabezas, in
plan crisis desregulacion severa	Plan de crisis y desregulación severa
contencion restriccion	Contención y restricción: por qué evit
termorregulacion senales corporales atipicas	Termorregulación y señales corporales 
encontrar recursos asociaciones pais	Cómo encontrar recursos y asociaciones
autismo mexico	Autismo en México: derechos y recursos
autismo espana	Autismo en España: derechos y recursos
autismo argentina	Autismo en Argentina: derechos y recur
autismo colombia	Autismo en Colombia: derechos y recurs
autismo centroamerica guatemala region	Autismo en Centroamérica (Guatemala y 
leer noticia estudio autismo alfabetizacion	Cómo leer una noticia o estudio sobre 
modelo social medico discapacidad	Modelo social vs médico de la discapac
misofonia sensibilidades sonoras especificas	Misofonía y sensibilidades sonoras esp
pans pandas autismo honestidad controversia	PANS/PANDAS y autismo (con honestidad 
autismo trastornos metabolicos mitocondriales	Autismo y trastornos metabólicos y mit
autismo duelo	Autismo y duelo: comprender y vivir la
autismo separacion divorcio	Autismo y separación o divorcio: co-cr
naturaleza actividades aire libre	Naturaleza y actividades al aire libre
espacios sensory friendly diseno inclusivo	Espacios sensory-friendly y diseño inc
amistad personas autistas comunidad pares	Amistad entre personas autistas y comu
autismo chile	Autismo en Chile: derechos y recursos
autismo peru	Autismo en Perú: derechos y recursos
autismo uruguay venezuela	Autismo en Uruguay y Venezuela: panora
autismo ecuador bolivia paraguay	Autismo en Ecuador, Bolivia y Paraguay
autismo brasil	Autismo en Brasil: derechos y recursos
autismo familias hispanas idea iep	Autismo en EE. UU. para familias hispa
